,prices,market_caps,total_volumes
2764,"[1606262400000, 16046.941545895852]","[1606262400000, 297723014518.04144]","[1606262400000, 41546856720.23314]"
2765,"[1606348800000, 15737.328737432834]","[1606348800000, 292129364493.41595]","[1606348800000, 26976270143.195614]"
2766,"[1606435200000, 14387.255809449201]","[1606435200000, 266957948603.3059]","[1606435200000, 40916013880.68436]"
2767,"[1606521600000, 14327.744877385607]","[1606521600000, 265867596845.81558]","[1606521600000, 25646030833.718723]"
2768,"[1606608000000, 14810.545193935972]","[1606608000000, 274840575681.30167]","[1606608000000, 20479574988.557438]"
2769,"[1606694400000, 15179.579485845135]","[1606694400000, 281029007212.9345]","[1606694400000, 20000277140.113827]"
2770,"[1606780800000, 16425.876414817623]","[1606780800000, 304843323266.5861]","[1606780800000, 30290044617.139202]"
2771,"[1606867200000, 15619.881669757768]","[1606867200000, 289592768827.8713]","[1606867200000, 31985075710.743923]"
2772,"[1606953600000, 15854.611867672349]","[1606953600000, 294269713825.2751]","[1606953600000, 23873128452.56179]"
2773,"[1607040000000, 16000.596011570113]","[1607040000000, 296958261132.22614]","[1607040000000, 20040757041.910385]"
2774,"[1607126400000, 15434.42300033802]","[1607126400000, 286993660028.4252]","[1607126400000, 21751847657.268303]"
2775,"[1607212800000, 15787.374660624046]","[1607212800000, 293032644092.4927]","[1607212800000, 19247042958.120796]"
2776,"[1607299200000, 15942.074754616388]","[1607299200000, 295950764156.4915]","[1607299200000, 18009857033.854256]"
2777,"[1607385600000, 15850.227460489148]","[1607385600000, 294397215557.3988]","[1607385600000, 18191316930.054543]"
2778,"[1607472000000, 15143.962364062603]","[1607472000000, 281162320644.39056]","[1607472000000, 22133872024.02511]"
2779,"[1607558400000, 15371.864480269156]","[1607558400000, 285406902191.2472]","[1607558400000, 24680084836.31941]"
2780,"[1607644800000, 15037.928500959382]","[1607644800000, 279801804456.5921]","[1607644800000, 19839147854.813427]"
2781,"[1607731200000, 14909.700563052313]","[1607731200000, 276851043279.647]","[1607731200000, 21533245325.058247]"
2782,"[1607817600000, 15528.172355145709]","[1607817600000, 288348067323.02496]","[1607817600000, 18097369549.998425]"
2783,"[1607904000000, 15782.488180596785]","[1607904000000, 293085934822.34106]","[1607904000000, 19408080982.437164]"
2784,"[1607990400000, 15853.786913729256]","[1607990400000, 294424132900.41327]","[1607990400000, 17811273817.006588]"
2785,"[1608076800000, 15987.004593260697]","[1608076800000, 296637426785.0146]","[1608076800000, 19887392552.470257]"
2786,"[1608163200000, 17479.182574774823]","[1608163200000, 324907002031.29144]","[1608163200000, 32028981764.1756]"
2787,"[1608249600000, 18596.370302565916]","[1608249600000, 345405262725.7989]","[1608249600000, 49491394720.28802]"
2788,"[1608336000000, 18862.385711373685]","[1608336000000, 350364683726.2953]","[1608336000000, 30185753066.81568]"
2789,"[1608422400000, 19468.77710395562]","[1608422400000, 361647486726.7915]","[1608422400000, 28760327121.838146]"
2790,"[1608508800000, 19250.28454854162]","[1608508800000, 357607107478.015]","[1608508800000, 26935757470.855675]"
2791,"[1608595200000, 18662.460684275353]","[1608595200000, 346703020434.68774]","[1608595200000, 31394220266.990574]"
2792,"[1608681600000, 19533.859665926884]","[1608681600000, 362880283545.0927]","[1608681600000, 31797715132.947697]"
2793,"[1608768000000, 19123.05975513076]","[1608768000000, 355295454490.97034]","[1608768000000, 35211691590.58687]"
2794,"[1608854400000, 19502.82377403685]","[1608854400000, 362482925013.31555]","[1608854400000, 30227676721.26223]"
2795,"[1608940800000, 20235.24254736353]","[1608940800000, 375993065296.81647]","[1608940800000, 30038081443.305687]"
2796,"[1609027200000, 21715.72193838337]","[1609027200000, 403520850155.93774]","[1609027200000, 34444425821.57171]"
2797,"[1609113600000, 21651.457904372615]","[1609113600000, 404309518535.1257]","[1609113600000, 46423657650.11168]"
2798,"[1609200000000, 22197.54271283681]","[1609200000000, 412235061155.62256]","[1609200000000, 34522538110.77736]"
2799,"[1609286400000, 22383.990968366867]","[1609286400000, 416002554948.67883]","[1609286400000, 31082512221.33313]"
2800,"[1609372800000, 23445.60952998802]","[1609372800000, 435758035510.7187]","[1609372800000, 35237690787.4503]"
2801,"[1609459200000, 23758.680415784707]","[1609459200000, 441601238643.4067]","[1609459200000, 35613370771.24331]"
2802,"[1609545600000, 24106.90173422772]","[1609545600000, 448095762683.38556]","[1609545600000, 27997885383.618732]"
2803,"[1609632000000, 26505.018067687164]","[1609632000000, 492697142482.07477]","[1609632000000, 47196920018.87626]"
