,prices,market_caps,total_volumes
0,"[1367280000000, 106.3128]","[1367280000000, 1179936531.5728781]","[1367280000000, 0.0]"
1,"[1367366400000, 88.6291]","[1367366400000, 983973562.5649999]","[1367366400000, 0.0]"
2,"[1367452800000, 80.5923]","[1367452800000, 895037935.3354017]","[1367452800000, 0.0]"
3,"[1367539200000, 75.1575]","[1367539200000, 834954730.4999999]","[1367539200000, 0.0]"
4,"[1367625600000, 86.2273]","[1367625600000, 958267697.6012692]","[1367625600000, 0.0]"
5,"[1367712000000, 88.4403]","[1367712000000, 983208503.1599998]","[1367712000000, 0.0]"
6,"[1367798400000, 85.5829]","[1367798400000, 951799524.668314]","[1367798400000, 0.0]"
7,"[1367884800000, 83.7734]","[1367884800000, 932031433.375]","[1367884800000, 0.0]"
8,"[1367971200000, 86.563]","[1367971200000, 963424549.25]","[1367971200000, 0.0]"
9,"[1368057600000, 85.7885]","[1368057600000, 955160580.15]","[1368057600000, 0.0]"
10,"[1368144000000, 90.0629]","[1368144000000, 1003134089.635]","[1368144000000, 0.0]"
11,"[1368230400000, 89.0164]","[1368230400000, 991885265.4930785]","[1368230400000, 0.0]"
12,"[1368316800000, 88.3954]","[1368316800000, 985345733.8198513]","[1368316800000, 0.0]"
13,"[1368403200000, 90.8763]","[1368403200000, 1013397971.82]","[1368403200000, 0.0]"
14,"[1368489600000, 85.8463]","[1368489600000, 957639084.6073747]","[1368489600000, 0.0]"
15,"[1368576000000, 88.2102]","[1368576000000, 984324390.5790865]","[1368576000000, 0.0]"
16,"[1368662400000, 91.5815]","[1368662400000, 1022285361.9660434]","[1368662400000, 0.0]"
17,"[1368748800000, 95.8971]","[1368748800000, 1070842159.0429909]","[1368748800000, 0.0]"
18,"[1368835200000, 96.0028]","[1368835200000, 1072363276.3499999]","[1368835200000, 0.0]"
19,"[1368921600000, 95.3844]","[1368921600000, 1065841978.1272587]","[1368921600000, 0.0]"
20,"[1369008000000, 94.9896]","[1369008000000, 1061741504.52]","[1369008000000, 0.0]"
21,"[1369094400000, 95.4072]","[1369094400000, 1066755059.1281497]","[1369094400000, 0.0]"
22,"[1369180800000, 95.9877]","[1369180800000, 1073651220.81]","[1369180800000, 0.0]"
23,"[1369267200000, 98.11]","[1369267200000, 1097789581.6401057]","[1369267200000, 0.0]"
24,"[1369353600000, 102.9938]","[1369353600000, 1152858525.0639832]","[1369353600000, 0.0]"
25,"[1369440000000, 101.9565]","[1369440000000, 1141673201.8351686]","[1369440000000, 0.0]"
26,"[1369526400000, 103.2175]","[1369526400000, 1156226952.375]","[1369526400000, 0.0]"
27,"[1369612800000, 100.3132]","[1369612800000, 1124139813.548856]","[1369612800000, 0.0]"
28,"[1369699200000, 99.7548]","[1369699200000, 1118266271.3358333]","[1369699200000, 0.0]"
29,"[1369785600000, 102.7794]","[1369785600000, 1152627289.9494665]","[1369785600000, 0.0]"
30,"[1369872000000, 99.6187]","[1369872000000, 1117619704.8520482]","[1369872000000, 0.0]"
31,"[1369958400000, 98.8856]","[1369958400000, 1109845004.1263323]","[1369958400000, 0.0]"
32,"[1370044800000, 99.3948]","[1370044800000, 1116064451.28]","[1370044800000, 0.0]"
33,"[1370131200000, 94.3005]","[1370131200000, 1059371817.0]","[1370131200000, 0.0]"
34,"[1370217600000, 92.9568]","[1370217600000, 1044778657.92]","[1370217600000, 0.0]"
35,"[1370390400000, 93.2043]","[1370390400000, 1048077693.6307446]","[1370390400000, 0.0]"
36,"[1370476800000, 90.9132]","[1370476800000, 1022737134.4212235]","[1370476800000, 0.0]"
37,"[1370563200000, 84.0138]","[1370563200000, 945497606.235]","[1370563200000, 0.0]"
38,"[1370649600000, 81.6081]","[1370649600000, 918746029.8171786]","[1370649600000, 0.0]"
39,"[1370736000000, 75.9808]","[1370736000000, 855739458.8578925]","[1370736000000, 0.0]"
40,"[1370822400000, 80.5148]","[1370822400000, 907132071.8195482]","[1370822400000, 0.0]"
41,"[1370908800000, 82.2838]","[1370908800000, 927414538.7090839]","[1370908800000, 0.0]"
42,"[1370995200000, 81.7592]","[1370995200000, 921877903.2046136]","[1370995200000, 0.0]"
43,"[1371081600000, 78.0]","[1371081600000, 879888750.0]","[1371081600000, 0.0]"
44,"[1371168000000, 74.8329]","[1371168000000, 844502372.5669706]","[1371168000000, 0.0]"
45,"[1371254400000, 74.8098]","[1371254400000, 844585809.6239393]","[1371254400000, 0.0]"
46,"[1371340800000, 74.8707]","[1371340800000, 845589685.8000001]","[1371340800000, 0.0]"
47,"[1371427200000, 76.3907]","[1371427200000, 863111782.555]","[1371427200000, 0.0]"
48,"[1371513600000, 80.3631]","[1371513600000, 908287865.13]","[1371513600000, 0.0]"
49,"[1371600000000, 80.84]","[1371600000000, 913964914.3793525]","[1371600000000, 0.0]"
50,"[1371686400000, 83.571]","[1371686400000, 945129510.3]","[1371686400000, 0.0]"
51,"[1371772800000, 82.8054]","[1371772800000, 936783700.4183501]","[1371772800000, 0.0]"
52,"[1371859200000, 82.3009]","[1371859200000, 931419860.7137376]","[1371859200000, 0.0]"
53,"[1371945600000, 82.1938]","[1371945600000, 930579710.1865939]","[1371945600000, 0.0]"
54,"[1372032000000, 77.8076]","[1372032000000, 881229425.6999999]","[1372032000000, 0.0]"
55,"[1372118400000, 78.7549]","[1372118400000, 892259546.3789113]","[1372118400000, 0.0]"
56,"[1372204800000, 79.4311]","[1372204800000, 900242300.8332546]","[1372204800000, 0.0]"
57,"[1372291200000, 78.1492]","[1372291200000, 886034138.7589669]","[1372291200000, 0.0]"
58,"[1372377600000, 72.6188]","[1372377600000, 823638798.6599998]","[1372377600000, 0.0]"
59,"[1372464000000, 72.9441]","[1372464000000, 827638347.5606813]","[1372464000000, 0.0]"
60,"[1372550400000, 74.9331]","[1372550400000, 850516911.5771444]","[1372550400000, 0.0]"
61,"[1372636800000, 65.0205]","[1372636800000, 738259012.125]","[1372636800000, 0.0]"
62,"[1372723200000, 67.1281]","[1372723200000, 762462776.4887595]","[1372723200000, 0.0]"
63,"[1372809600000, 59.1872]","[1372809600000, 672496803.5792549]","[1372809600000, 0.0]"
64,"[1372896000000, 59.7792]","[1372896000000, 679501199.52]","[1372896000000, 0.0]"
65,"[1372982400000, 51.2984]","[1372982400000, 583320518.7]","[1372982400000, 0.0]"
66,"[1373068800000, 52.057]","[1373068800000, 592179608.8929198]","[1373068800000, 0.0]"
67,"[1373155200000, 56.5087]","[1373155200000, 643084546.0149244]","[1373155200000, 0.0]"
68,"[1373241600000, 58.1136]","[1373241600000, 661620430.3949834]","[1373241600000, 0.0]"
69,"[1373328000000, 57.7136]","[1373328000000, 657344918.5061061]","[1373328000000, 0.0]"
70,"[1373414400000, 65.9978]","[1373414400000, 752013582.045]","[1373414400000, 0.0]"
71,"[1373500800000, 70.2041]","[1373500800000, 800268821.4128233]","[1373500800000, 0.0]"
72,"[1373587200000, 67.6164]","[1373587200000, 771085592.5137521]","[1373587200000, 0.0]"
73,"[1373673600000, 69.9784]","[1373673600000, 798264602.272321]","[1373673600000, 0.0]"
74,"[1373760000000, 69.1701]","[1373760000000, 789338054.6550001]","[1373760000000, 0.0]"
75,"[1373846400000, 71.3026]","[1373846400000, 813967308.255]","[1373846400000, 0.0]"
76,"[1373932800000, 71.0398]","[1373932800000, 811276292.3417991]","[1373932800000, 0.0]"
77,"[1374019200000, 68.9509]","[1374019200000, 787689910.3312632]","[1374019200000, 0.0]"
78,"[1374105600000, 65.1081]","[1374105600000, 744087920.8499999]","[1374105600000, 0.0]"
79,"[1374192000000, 65.4085]","[1374192000000, 747787581.6904352]","[1374192000000, 0.0]"
80,"[1374278400000, 65.2057]","[1374278400000, 745759220.8288788]","[1374278400000, 0.0]"
81,"[1374364800000, 65.0437]","[1374364800000, 744194241.365]","[1374364800000, 0.0]"
82,"[1374451200000, 65.5021]","[1374451200000, 749777975.6299531]","[1374451200000, 0.0]"
83,"[1374537600000, 65.9892]","[1374537600000, 755620882.6236478]","[1374537600000, 0.0]"
84,"[1374624000000, 66.2494]","[1374624000000, 758825596.3435249]","[1374624000000, 0.0]"
85,"[1374710400000, 67.8216]","[1374710400000, 777106674.6012504]","[1374710400000, 0.0]"
86,"[1374796800000, 68.4316]","[1374796800000, 784357867.1423364]","[1374796800000, 0.0]"
87,"[1374883200000, 67.098]","[1374883200000, 769333925.6717943]","[1374883200000, 0.0]"
88,"[1374969600000, 69.3614]","[1374969600000, 795611673.011693]","[1374969600000, 0.0]"
89,"[1375056000000, 70.2551]","[1375056000000, 806143901.3649168]","[1375056000000, 0.0]"
90,"[1375142400000, 72.6135]","[1375142400000, 833521289.454798]","[1375142400000, 0.0]"
91,"[1375228800000, 73.8145]","[1375228800000, 847711553.075]","[1375228800000, 0.0]"
92,"[1375315200000, 72.5204]","[1375315200000, 833190501.9613367]","[1375315200000, 0.0]"
93,"[1375401600000, 73.5564]","[1375401600000, 845416805.2180455]","[1375401600000, 0.0]"
94,"[1375488000000, 72.8642]","[1375488000000, 837818074.07]","[1375488000000, 0.0]"
95,"[1375574400000, 72.7376]","[1375574400000, 836664244.0]","[1375574400000, 0.0]"
96,"[1375660800000, 72.9734]","[1375660800000, 839706738.135]","[1375660800000, 0.0]"
97,"[1375747200000, 73.2315]","[1375747200000, 843030043.3787851]","[1375747200000, 0.0]"
98,"[1375833600000, 72.8867]","[1375833600000, 839202886.46]","[1375833600000, 0.0]"
99,"[1375920000000, 71.0947]","[1375920000000, 819238446.7602978]","[1375920000000, 0.0]"
100,"[1376006400000, 69.8062]","[1376006400000, 804748560.615]","[1376006400000, 0.0]"
101,"[1376092800000, 69.8827]","[1376092800000, 805992120.45]","[1376092800000, 0.0]"
102,"[1376179200000, 70.5836]","[1376179200000, 814448279.2600482]","[1376179200000, 0.0]"
103,"[1376265600000, 71.2942]","[1376265600000, 823068368.0460848]","[1376265600000, 0.0]"
104,"[1376352000000, 73.6152]","[1376352000000, 850202189.1882113]","[1376352000000, 0.0]"
105,"[1376438400000, 73.8297]","[1376438400000, 852984055.7154272]","[1376438400000, 0.0]"
106,"[1376524800000, 73.5616]","[1376524800000, 850191869.7512183]","[1376524800000, 0.0]"
107,"[1376611200000, 73.7209]","[1376611200000, 852344458.6478251]","[1376611200000, 0.0]"
108,"[1376697600000, 74.6914]","[1376697600000, 863923680.2862551]","[1376697600000, 0.0]"
109,"[1376784000000, 74.1534]","[1376784000000, 858054945.09]","[1376784000000, 0.0]"
110,"[1376870400000, 76.7487]","[1376870400000, 888444870.2082589]","[1376870400000, 0.0]"
111,"[1376956800000, 78.7578]","[1376956800000, 912048795.7382041]","[1376956800000, 0.0]"
112,"[1377043200000, 83.1088]","[1377043200000, 962859080.2909917]","[1377043200000, 0.0]"
113,"[1377129600000, 82.1467]","[1377129600000, 952143916.8769125]","[1377129600000, 0.0]"
114,"[1377216000000, 80.5138]","[1377216000000, 933636011.955]","[1377216000000, 0.0]"
115,"[1377302400000, 81.2438]","[1377302400000, 942478857.3749999]","[1377302400000, 0.0]"
116,"[1377388800000, 83.5453]","[1377388800000, 969501433.85]","[1377388800000, 0.0]"
117,"[1377475200000, 83.8631]","[1377475200000, 973508023.73]","[1377475200000, 0.0]"
118,"[1377561600000, 87.8372]","[1377561600000, 1020029248.5447378]","[1377561600000, 0.0]"
119,"[1377648000000, 88.1179]","[1377648000000, 1023656832.5100001]","[1377648000000, 0.0]"
120,"[1377734400000, 88.7382]","[1377734400000, 1031297612.7600001]","[1377734400000, 0.0]"
121,"[1377820800000, 93.1854]","[1377820800000, 1083441019.815]","[1377820800000, 0.0]"
122,"[1377907200000, 97.9458]","[1377907200000, 1139293302.375]","[1377907200000, 0.0]"
123,"[1377993600000, 97.0904]","[1377993600000, 1129894384.168656]","[1377993600000, 0.0]"
124,"[1378080000000, 96.4906]","[1378080000000, 1123483476.218281]","[1378080000000, 0.0]"
125,"[1378166400000, 96.8493]","[1378166400000, 1128090961.47]","[1378166400000, 0.0]"
126,"[1378252800000, 91.3508]","[1378252800000, 1064465197.0000001]","[1378252800000, 0.0]"
127,"[1378339200000, 91.8866]","[1378339200000, 1071083044.395]","[1378339200000, 0.0]"
128,"[1378425600000, 88.3304]","[1378425600000, 1030062751.5150781]","[1378425600000, 0.0]"
129,"[1378512000000, 90.3363]","[1378512000000, 1053804557.570054]","[1378512000000, 0.0]"
130,"[1378598400000, 88.4926]","[1378598400000, 1032633423.6533597]","[1378598400000, 0.0]"
131,"[1378684800000, 90.6332]","[1378684800000, 1058054242.63]","[1378684800000, 0.0]"
132,"[1378771200000, 91.5685]","[1378771200000, 1069401040.95]","[1378771200000, 0.0]"
133,"[1378857600000, 94.3032]","[1378857600000, 1101791437.2]","[1378857600000, 0.0]"
134,"[1378944000000, 94.5686]","[1378944000000, 1105395816.2472894]","[1378944000000, 0.0]"
135,"[1379030400000, 95.1639]","[1379030400000, 1112844267.6786642]","[1379030400000, 0.0]"
136,"[1379116800000, 93.311]","[1379116800000, 1091685046.352546]","[1379116800000, 0.0]"
137,"[1379203200000, 93.3932]","[1379203200000, 1093097360.740657]","[1379203200000, 0.0]"
138,"[1379289600000, 93.749]","[1379289600000, 1097657822.775]","[1379289600000, 0.0]"
139,"[1379376000000, 94.3131]","[1379376000000, 1104675193.694124]","[1379376000000, 0.0]"
140,"[1379462400000, 93.6891]","[1379462400000, 1097708340.15]","[1379462400000, 0.0]"
141,"[1379548800000, 91.7398]","[1379548800000, 1075323478.3577778]","[1379548800000, 0.0]"
142,"[1379635200000, 90.8565]","[1379635200000, 1065387861.4716653]","[1379635200000, 0.0]"
143,"[1379721600000, 90.6824]","[1379721600000, 1063763495.56]","[1379721600000, 0.0]"
144,"[1379808000000, 90.6417]","[1379808000000, 1063759661.1640244]","[1379808000000, 0.0]"
145,"[1379894400000, 90.538]","[1379894400000, 1063040609.9286041]","[1379894400000, 0.0]"
146,"[1379980800000, 90.9276]","[1379980800000, 1068094692.1794337]","[1379980800000, 0.0]"
147,"[1380067200000, 91.2983]","[1380067200000, 1072926209.1341691]","[1380067200000, 0.0]"
148,"[1380153600000, 91.4989]","[1380153600000, 1075677081.0648618]","[1380153600000, 0.0]"
149,"[1380240000000, 91.329]","[1380240000000, 1074088403.85]","[1380240000000, 0.0]"
150,"[1380326400000, 92.2534]","[1380326400000, 1085345106.4827955]","[1380326400000, 0.0]"
151,"[1380412800000, 92.6963]","[1380412800000, 1090949706.9225]","[1380412800000, 0.0]"
152,"[1380499200000, 91.0223]","[1380499200000, 1071623742.36]","[1380499200000, 0.0]"
153,"[1380585600000, 92.7858]","[1380585600000, 1092849709.56]","[1380585600000, 0.0]"
154,"[1380672000000, 73.5603]","[1380672000000, 866718717.7275]","[1380672000000, 0.0]"
155,"[1380758400000, 85.8838]","[1380758400000, 1012396087.1305386]","[1380758400000, 0.0]"
156,"[1380844800000, 89.4046]","[1380844800000, 1054290334.81]","[1380844800000, 0.0]"
157,"[1380931200000, 89.3587]","[1380931200000, 1054215965.324914]","[1380931200000, 0.0]"
158,"[1381017600000, 89.7261]","[1381017600000, 1059007997.3175]","[1381017600000, 0.0]"
159,"[1381104000000, 90.7575]","[1381104000000, 1071532961.6249999]","[1381104000000, 0.0]"
160,"[1381190400000, 91.5999]","[1381190400000, 1081840618.95]","[1381190400000, 0.0]"
161,"[1381276800000, 93.0477]","[1381276800000, 1099356249.6629152]","[1381276800000, 0.0]"
162,"[1381363200000, 92.9543]","[1381363200000, 1098722149.8575]","[1381363200000, 0.0]"
163,"[1381449600000, 92.6268]","[1381449600000, 1095258649.7677593]","[1381449600000, 0.0]"
164,"[1381536000000, 93.4094]","[1381536000000, 1104958474.48]","[1381536000000, 0.0]"
165,"[1381622400000, 96.2078]","[1381622400000, 1138616907.805]","[1381622400000, 0.0]"
166,"[1381708800000, 98.1013]","[1381708800000, 1161642018.625]","[1381708800000, 0.0]"
167,"[1381795200000, 102.4608]","[1381795200000, 1213914574.08]","[1381795200000, 0.0]"
168,"[1381881600000, 101.5506]","[1381881600000, 1203704649.8035638]","[1381881600000, 0.0]"
169,"[1381968000000, 104.4686]","[1381968000000, 1238752095.147402]","[1381968000000, 0.0]"
170,"[1382054400000, 109.2936]","[1382054400000, 1296427021.1389136]","[1382054400000, 0.0]"
171,"[1382140800000, 116.7808]","[1382140800000, 1385899063.691223]","[1382140800000, 0.0]"
172,"[1382227200000, 119.1726]","[1382227200000, 1414927341.6817942]","[1382227200000, 0.0]"
173,"[1382313600000, 127.3619]","[1382313600000, 1512798280.4560332]","[1382313600000, 0.0]"
174,"[1382400000000, 133.6403]","[1382400000000, 1588204712.4252064]","[1382400000000, 0.0]"
175,"[1382486400000, 145.6692]","[1382486400000, 1731930311.3177676]","[1382486400000, 0.0]"
176,"[1382572800000, 132.7345]","[1382572800000, 1578837057.15]","[1382572800000, 0.0]"
177,"[1382659200000, 129.0098]","[1382659200000, 1535310152.105]","[1382659200000, 0.0]"
178,"[1382745600000, 127.4308]","[1382745600000, 1517152875.56]","[1382745600000, 0.0]"
179,"[1382832000000, 134.468]","[1382832000000, 1601540773.6]","[1382832000000, 0.0]"
180,"[1382918400000, 136.2248]","[1382918400000, 1623064002.08]","[1382918400000, 0.0]"
181,"[1383004800000, 144.1237]","[1383004800000, 1717738318.45]","[1383004800000, 0.0]"
182,"[1383091200000, 141.6624]","[1383091200000, 1689104543.28]","[1383091200000, 0.0]"
183,"[1383177600000, 145.6438]","[1383177600000, 1737373966.915]","[1383177600000, 0.0]"
184,"[1383264000000, 146.5737]","[1383264000000, 1749170228.389544]","[1383264000000, 0.0]"
185,"[1383350400000, 148.8996]","[1383350400000, 1777745826.630074]","[1383350400000, 0.0]"
186,"[1383436800000, 153.313]","[1383436800000, 1831208799.8891785]","[1383436800000, 0.0]"
187,"[1383523200000, 166.652]","[1383523200000, 1991328914.3]","[1383523200000, 0.0]"
188,"[1383609600000, 177.6113]","[1383609600000, 2123041152.29]","[1383609600000, 0.0]"
189,"[1383696000000, 187.7112]","[1383696000000, 2244542595.480097]","[1383696000000, 0.0]"
190,"[1383782400000, 211.141]","[1383782400000, 2525483893.8035517]","[1383782400000, 0.0]"
191,"[1383868800000, 242.1997]","[1383868800000, 2897792256.022237]","[1383868800000, 0.0]"
192,"[1383955200000, 251.4581]","[1383955200000, 3009456827.2525]","[1383955200000, 0.0]"
193,"[1384041600000, 233.4401]","[1384041600000, 2794809073.2275]","[1384041600000, 0.0]"
194,"[1384128000000, 248.092]","[1384128000000, 2971416490.717874]","[1384128000000, 0.0]"
195,"[1384214400000, 260.0397]","[1384214400000, 3115776182.4225]","[1384214400000, 0.0]"
196,"[1384300800000, 291.5621]","[1384300800000, 3494758088.102154]","[1384300800000, 0.0]"
197,"[1384387200000, 305.2046]","[1384387200000, 3659654947.795]","[1384387200000, 0.0]"
198,"[1384473600000, 303.1776]","[1384473600000, 3636577414.8]","[1384473600000, 0.0]"
199,"[1384560000000, 317.7563]","[1384560000000, 3813019992.4658875]","[1384560000000, 0.0]"
200,"[1384646400000, 352.9489]","[1384646400000, 4236992717.495]","[1384646400000, 0.0]"
201,"[1384732800000, 499.3801]","[1384732800000, 5996868353.577428]","[1384732800000, 0.0]"
202,"[1384819200000, 400.29]","[1384819200000, 4808473617.75]","[1384819200000, 0.0]"
203,"[1384905600000, 426.1276]","[1384905600000, 5120594264.5931225]","[1384905600000, 0.0]"
204,"[1384992000000, 516.2023]","[1384992000000, 6204919411.365163]","[1384992000000, 0.0]"
205,"[1385078400000, 551.3231]","[1385078400000, 6628474932.457975]","[1385078400000, 0.0]"
206,"[1385164800000, 572.9054]","[1385164800000, 6890118406.449814]","[1385164800000, 0.0]"
207,"[1385251200000, 554.4268]","[1385251200000, 6670073199.228681]","[1385251200000, 0.0]"
208,"[1385337600000, 575.9612]","[1385337600000, 6931822633.45156]","[1385337600000, 0.0]"
209,"[1385424000000, 662.6825]","[1385424000000, 7978448793.8636]","[1385424000000, 0.0]"
210,"[1385510400000, 698.6103]","[1385510400000, 8413783009.080001]","[1385510400000, 0.0]"
211,"[1385596800000, 762.8329]","[1385596800000, 9190515425.0875]","[1385596800000, 0.0]"
212,"[1385683200000, 824.3691]","[1385683200000, 9936347463.615454]","[1385683200000, 0.0]"
213,"[1385769600000, 827.6007]","[1385769600000, 9978381639.9]","[1385769600000, 0.0]"
214,"[1385856000000, 696.7701]","[1385856000000, 8404423526.778935]","[1385856000000, 0.0]"
215,"[1385942400000, 766.8847]","[1385942400000, 9253633404.864332]","[1385942400000, 0.0]"
216,"[1386028800000, 786.3031]","[1386028800000, 9491445062.5225]","[1386028800000, 0.0]"
217,"[1386115200000, 844.117]","[1386115200000, 10193177039.35]","[1386115200000, 0.0]"
218,"[1386201600000, 762.1123]","[1386201600000, 9206164161.54]","[1386201600000, 0.0]"
219,"[1386288000000, 608.5639]","[1386288000000, 7354281734.135]","[1386288000000, 0.0]"
220,"[1386374400000, 506.7408]","[1386374400000, 6126458266.75204]","[1386374400000, 0.0]"
221,"[1386460800000, 579.997]","[1386460800000, 7014628717.64025]","[1386460800000, 0.0]"
222,"[1386547200000, 653.7386]","[1386547200000, 7909812130.274041]","[1386547200000, 0.0]"
223,"[1386633600000, 719.451]","[1386633600000, 8708486711.85]","[1386633600000, 0.0]"
224,"[1386720000000, 640.7339]","[1386720000000, 7758358464.844998]","[1386720000000, 0.0]"
225,"[1386806400000, 636.8987]","[1386806400000, 7714546961.2038145]","[1386806400000, 0.0]"
226,"[1386892800000, 653.6786]","[1386892800000, 7920607254.05287]","[1386892800000, 0.0]"
227,"[1386979200000, 631.3091]","[1386979200000, 7652413255.649999]","[1386979200000, 0.0]"
228,"[1387065600000, 640.3257]","[1387065600000, 7764861576.997126]","[1387065600000, 0.0]"
229,"[1387152000000, 517.7696]","[1387152000000, 6281114794.56]","[1387152000000, 0.0]"
230,"[1387238400000, 496.597]","[1387238400000, 6026688777.254498]","[1387238400000, 0.0]"
231,"[1387324800000, 381.7649]","[1387324800000, 4635112636.2475]","[1387324800000, 0.0]"
232,"[1387411200000, 511.2503]","[1387411200000, 6209991237.7525]","[1387411200000, 0.0]"
233,"[1387497600000, 455.4998]","[1387497600000, 5535165244.301949]","[1387497600000, 0.0]"
234,"[1387584000000, 445.3431]","[1387584000000, 5413568456.445]","[1387584000000, 0.0]"
235,"[1387670400000, 451.9255]","[1387670400000, 5495357589.138755]","[1387670400000, 0.0]"
236,"[1387756800000, 491.3922]","[1387756800000, 5977331575.024759]","[1387756800000, 0.0]"
237,"[1387843200000, 488.1119]","[1387843200000, 5939565249.554999]","[1387843200000, 0.0]"
238,"[1387929600000, 502.3711]","[1387929600000, 6115187570.415]","[1387929600000, 0.0]"
239,"[1388016000000, 558.9192]","[1388016000000, 6805861287.730215]","[1388016000000, 0.0]"
240,"[1388102400000, 543.047]","[1388102400000, 6615099878.519787]","[1388102400000, 46505744.26927424]"
241,"[1388188800000, 531.3618]","[1388188800000, 6474909213.900001]","[1388188800000, 20225421.95541479]"
242,"[1388275200000, 541.1832]","[1388275200000, 6596712027.846238]","[1388275200000, 20127259.284705497]"
243,"[1388361600000, 547.0843]","[1388361600000, 6668916585.6775]","[1388361600000, 17780383.6211145]"
244,"[1388448000000, 550.8385]","[1388448000000, 6714680002.1125]","[1388448000000, 15977132.110744743]"
245,"[1388534400000, 560.0829]","[1388534400000, 6827368545.147261]","[1388534400000, 17106259.787089378]"
246,"[1388620800000, 591.3929]","[1388620800000, 7209035096.34112]","[1388620800000, 12889797.641023653]"
247,"[1388707200000, 610.7823]","[1388707200000, 7445390428.51248]","[1388707200000, 40082611.56002035]"
248,"[1388793600000, 632.1224]","[1388793600000, 7705524646.447786]","[1388793600000, 27055961.315307252]"
249,"[1388880000000, 691.5317]","[1388880000000, 8429719557.9344635]","[1388880000000, 46944969.53787755]"
250,"[1388966400000, 697.9619]","[1388966400000, 8508103214.230191]","[1388966400000, 66029470.64945855]"
251,"[1389052800000, 595.3613]","[1389052800000, 7280971018.35]","[1389052800000, 57820351.31824561]"
252,"[1389139200000, 633.4166]","[1389139200000, 7749472051.039999]","[1389139200000, 58980687.35206126]"
253,"[1389225600000, 632.8164]","[1389225600000, 7745403789.2154045]","[1389225600000, 43617305.51517069]"
254,"[1389312000000, 647.2257]","[1389312000000, 7924777096.207644]","[1389312000000, 22314104.997706477]"
255,"[1389398400000, 681.0399]","[1389398400000, 8342381229.0525]","[1389398400000, 36317942.24489909]"
256,"[1389484800000, 638.8237]","[1389484800000, 7828481002.058391]","[1389484800000, 29583550.331511904]"
257,"[1389571200000, 627.6869]","[1389571200000, 7694798014.9275]","[1389571200000, 32057964.94298183]"
258,"[1389657600000, 622.952]","[1389657600000, 7639182507.185834]","[1389657600000, 17445629.34049281]"
259,"[1389744000000, 642.9534]","[1389744000000, 7887398686.829999]","[1389744000000, 21371303.543954253]"
260,"[1389830400000, 622.3077]","[1389830400000, 7637115671.325]","[1389830400000, 13901779.817764146]"
261,"[1389916800000, 611.6701]","[1389916800000, 7508923314.61]","[1389916800000, 29545870.521097306]"
262,"[1390003200000, 623.2049]","[1390003200000, 7653298934.695]","[1390003200000, 13393489.402654761]"
263,"[1390089600000, 649.2958]","[1390089600000, 7973823163.261335]","[1390089600000, 13613931.92166267]"
264,"[1390176000000, 642.473]","[1390176000000, 7892652310.4]","[1390176000000, 18791568.333199102]"
265,"[1390262400000, 644.7729]","[1390262400000, 7924081628.267128]","[1390262400000, 19856739.342583112]"
266,"[1390348800000, 637.7454]","[1390348800000, 7840697045.76]","[1390348800000, 13181998.286140366]"
267,"[1390435200000, 623.9812]","[1390435200000, 7674625569.971638]","[1390435200000, 13564594.085410343]"
268,"[1390521600000, 603.2657]","[1390521600000, 7422445438.017499]","[1390521600000, 15057760.24742676]"
269,"[1390608000000, 630.1238]","[1390608000000, 7755784273.338322]","[1390608000000, 24865915.487064734]"
270,"[1390694400000, 643.4107]","[1390694400000, 7921962073.591921]","[1390694400000, 17094698.084099777]"
271,"[1390780800000, 595.6904]","[1390780800000, 7336671889.0]","[1390780800000, 21733555.786423877]"
272,"[1390867200000, 610.7606]","[1390867200000, 7525272966.69]","[1390867200000, 48639732.22550836]"
273,"[1390953600000, 612.9754]","[1390953600000, 7554921805.0]","[1390953600000, 25070720.12447818]"
274,"[1391040000000, 624.042]","[1391040000000, 7693767014.659084]","[1391040000000, 12418448.782260729]"
275,"[1391126400000, 628.8669]","[1391126400000, 7756019859.250288]","[1391126400000, 23916978.476226576]"
276,"[1391212800000, 632.4033]","[1391212800000, 7802655155.729999]","[1391212800000, 11183356.391750347]"
277,"[1391299200000, 633.5225]","[1391299200000, 7819457350.873142]","[1391299200000, 14654463.625494674]"
278,"[1391385600000, 626.0828]","[1391385600000, 7730619981.28]","[1391385600000, 9821136.076323489]"
279,"[1391472000000, 623.0605]","[1391472000000, 7695918683.9]","[1391472000000, 11096010.158705369]"
280,"[1391558400000, 606.5312]","[1391558400000, 7494587609.52]","[1391558400000, 11464762.3518991]"
281,"[1391644800000, 576.5257]","[1391644800000, 7126131501.7075]","[1391644800000, 33973610.82976847]"
282,"[1391731200000, 515.9869]","[1391731200000, 6380049021.774999]","[1391731200000, 47021319.93621416]"
283,"[1391817600000, 496.4562]","[1391817600000, 6140703972.191899]","[1391817600000, 61518650.83234275]"
284,"[1391904000000, 500.7082]","[1391904000000, 6195362700.239999]","[1391904000000, 25974810.612108853]"
285,"[1391990400000, 498.1905]","[1391990400000, 6165929451.463809]","[1391990400000, 27831486.507213805]"
286,"[1392076800000, 490.8495]","[1392076800000, 6077183117.025]","[1392076800000, 85741086.4165329]"
287,"[1392163200000, 476.9315]","[1392163200000, 5907213942.198575]","[1392163200000, 48016606.88520587]"
288,"[1392249600000, 437.464]","[1392249600000, 5420386755.232238]","[1392249600000, 12823155.531284994]"
