date,remainder
1901-01-01,-7.697367944827484
1901-01-02,-11.251414390992153
1901-01-03,-12.20208293427154
1901-01-04,-11.038184271358102
1901-01-05,-9.418339091907011
1901-01-06,-11.308905576294467
1901-01-07,-5.993996996828881
1901-01-08,-4.507499106533536
1901-01-09,-2.9099604286151366
1901-01-10,-2.7091165467586187
1901-01-11,-5.394840878685435
1901-01-12,-7.389636940570137
1901-01-13,-3.070368304845811
1901-01-14,-2.7841517085026046
1901-01-15,-3.177892918066626
1901-01-16,-2.881831033397112
1901-01-17,-4.140691792890815
1901-01-18,-4.62993229921992
1901-01-19,-0.11045269303145133
1901-01-20,4.980405253522706
1901-01-21,6.1507990650557565
1901-01-22,7.200236477151389
1901-01-23,5.061980499654932
1901-01-24,1.3123321170951172
1901-01-25,3.976717250122646
1901-01-26,2.87024293625917
1901-01-27,4.567146525280982
1901-01-28,2.2836138018467804
1901-01-29,0.0010773105712356124
1901-01-30,0.5994676213280556
1901-01-31,0.1632535439180649
1901-02-01,0.970174133147923
1901-02-02,-1.0838723130167462
1901-02-03,-1.9345408562961313
1901-02-04,-0.0706421933826947
1901-02-05,1.249202986068395
1901-02-06,0.05863650168093831
1901-02-07,-1.726454918853476
1901-02-08,-0.23995702855813122
1901-02-09,1.2575816493602698
1901-02-10,-0.5415744687832125
1901-02-11,-2.5272988007100285
1901-02-12,-5.02209486259473
1901-02-13,-7.402826226870405
1901-02-14,-6.2166096305271985
1901-02-15,-7.910350840091219
1901-02-16,-6.414288955421706
1901-02-17,-5.273149714915409
1901-02-18,-5.6623902212445145
1901-02-19,-7.742910615056047
1901-02-20,-7.252052668501889
1901-02-21,-7.481658856968838
1901-02-22,-5.8322214448732055
1901-02-23,0.12952257763033792
1901-02-24,-0.22012580492947653
1901-02-25,-1.9557406719019497
1901-02-26,1.937785014234576
1901-02-27,4.534688603256388
1901-02-28,3.9511558798221866
1901-03-01,0.3580506469858826
1901-03-02,2.4040042008212135
1901-03-03,1.6533356575418292
1901-03-04,0.7172343204552654
1901-03-05,1.237079499906356
1901-03-06,1.346513015518899
1901-03-07,1.9614215949844844
1901-03-08,0.6479194852798305
1901-03-09,-1.45454183680177
1901-03-10,-0.5536979549452519
1901-03-11,1.0605777131279321
1901-03-12,0.9657816512432307
1901-03-13,0.8850502869675552
1901-03-14,0.07126688331076148
1901-03-15,3.6775256737467403
1901-03-16,4.873587558416255
1901-03-17,4.714726798922552
1901-03-18,3.525486292593447
1901-03-19,2.344965898781915
1901-03-20,-0.1641761546639282
1901-03-21,-3.093782343130878
1901-03-22,-3.044344931035246
1901-03-23,-1.7826009085317036
1901-03-24,-1.3322492910915171
1901-03-25,-3.1678641580639884
1901-03-26,-5.074338471927465
1901-03-27,-3.8774348829056517
1901-03-28,-3.660967606339854
1901-03-29,-3.7435040976153986
1901-03-30,-1.5451137868585787
1901-03-31,4.11867213573143
1901-04-01,3.482069347354093
1901-04-02,0.02802290118942352
1901-04-03,4.477354357910038
1901-04-04,0.7412530208234749
1901-04-05,-3.538901799725436
1901-04-06,-1.1294682841128916
1901-04-07,2.2854402953526947
1901-04-08,5.971938185648039
1901-04-09,3.669476863566439
1901-04-10,1.5703207454229577
1901-04-11,1.4845964134961402
1901-04-12,0.38980035161143967
1901-04-13,-1.4909310126642357
1901-04-14,-1.1047144163210296
1901-04-15,-1.8984556258850507
1901-04-16,-4.002393741215536
1901-04-17,-3.661254500709239
1901-04-18,-2.550495007038344
1901-04-19,-0.531015400849876
1901-04-20,0.2598425457042799
1901-04-21,1.930236357237332
1901-04-22,3.1796737693329646
1901-04-23,3.141417791836507
1901-04-24,3.3917694092766926
1901-04-25,-1.343845457695779
1901-04-26,-3.0503197715592547
1901-04-27,6.046583817462558
1901-04-28,8.863051094028355
1901-04-29,4.980514602752811
1901-04-30,3.578904913509632
1901-05-01,-0.2737007947313934
1901-05-02,0.47225275910393805
1901-05-03,-0.2784157841754453
1901-05-04,-0.6145171212620077
1901-05-05,-3.9946719418109193
1901-05-06,-1.9852384261983769
1901-05-07,-0.27032984673278904
1901-05-08,-1.9838319564374451
1901-05-09,-0.1862932785190452
1901-05-10,2.314550603337473
1901-05-11,6.128826271410658
1901-05-12,5.434030209525957
1901-05-13,5.053298845250282
1901-05-14,5.439515441593485
1901-05-15,2.6457742320294653
1901-05-16,3.7418361166989804
1901-05-17,-1.0170246427947216
1901-05-18,-3.006265149123827
1901-05-19,-2.8867855429353586
1901-05-20,-0.7959275963812029
1901-05-21,-1.7255337848481531
1901-05-22,-1.2760963727525194
1901-05-23,-0.1143523502489785
1901-05-24,0.13599926719120958
1901-05-25,2.5003844002187368
1901-05-26,6.69391008635526
1901-05-27,7.990813675377076
1901-05-28,4.107280951942872
1901-05-29,6.624744460667326
1901-05-30,7.823134771424147
1901-05-31,9.686920694014155
1901-06-01,8.688420673205854
1901-06-02,7.3343742270411845
1901-06-03,2.5837056837617993
1901-06-04,-0.05239565332476559
1901-06-05,3.8674495261263253
1901-06-06,3.4768830417388656
1901-06-07,0.991791621204456
1901-06-08,-0.12171048850020227
1901-06-09,3.375828189418197
1901-06-10,3.8766720712747187
1901-06-11,0.9909477393478987
1901-06-12,-1.9038483225368008
1901-06-13,-5.284579686812476
1901-06-14,-1.7983630904692713
1901-06-15,-0.6921043000332929
1901-06-16,-3.3960424153637767
1901-06-17,-3.5549031748574773
1901-06-18,-3.0441436811865845
1901-06-19,0.6753359250018853
1901-06-20,3.2661938715560446
1901-06-21,2.8365876830890926
1901-06-22,3.5860250951847235
1901-06-23,6.347769117688266
