,country,year,income,happiness_rate,lifeExp,continent
14,Afghanistan,2019,2070.0,25.7,63.3,Asia
1859,South Sudan,2019,1940.0,28.2,63.7,Africa
2219,Zimbabwe,2019,2840.0,33.0,61.0,Africa
1724,Rwanda,2019,2230.0,33.1,68.7,Africa
2054,Tanzania,2019,2660.0,34.8,67.2,Africa
344,Central African Republic,2019,945.0,34.8,52.4,Africa
329,Botswana,2019,17800.0,34.8,62.3,Africa
2174,Yemen,2019,2610.0,35.3,67.7,Asia
1424,Malawi,2019,1060.0,35.4,64.7,Africa
914,India,2019,6700.0,35.7,70.8,Asia
1184,Lesotho,2019,2700.0,36.5,51.8,Africa
869,Haiti,2019,2910.0,37.2,63.8,North America
2204,Zambia,2019,3470.0,37.6,63.2,Africa
149,Burundi,2019,752.0,37.8,63.8,Africa
1799,Sierra Leone,2019,1720.0,39.3,61.8,Africa
614,Egypt,2019,11800.0,41.5,71.0,Africa
1274,Madagascar,2019,1650.0,41.7,65.5,Africa
1949,Togo,2019,1600.0,41.9,65.0,Africa
659,Ethiopia,2019,2220.0,41.9,68.8,Africa
449,Comoros,2019,3060.0,42.9,68.7,Africa
1169,Sri Lanka,2019,13100.0,43.3,77.3,Asia
1394,Mauritania,2019,5200.0,43.7,70.8,Africa
2024,Tunisia,2019,10800.0,43.9,77.7,Africa
1934,Chad,2019,1580.0,44.2,60.4,Africa
2069,Uganda,2019,2190.0,44.3,66.2,Africa
1139,Liberia,2019,1430.0,45.6,66.1,Africa
2084,Ukraine,2019,12800.0,45.6,73.8,Europe
1454,Namibia,2019,9640.0,45.7,65.2,Africa
1079,Kenya,2019,4330.0,45.8,66.5,Africa
1379,Mozambique,2019,1280.0,46.2,58.4,Africa
1034,Jordan,2019,10100.0,46.3,78.2,Asia
944,Iran,2019,12400.0,46.7,77.8,Asia
734,Georgia,2019,15000.0,46.7,73.4,Europe
89,Armenia,2019,13700.0,46.8,75.7,Europe
1484,Nigeria,2019,5140.0,47.2,64.3,Africa
1319,Mali,2019,2320.0,47.3,61.8,Africa
779,Gambia,2019,2220.0,47.5,66.7,Africa
1124,Lebanon,2019,14600.0,47.7,76.6,Asia
959,Iraq,2019,10900.0,47.8,73.3,Asia
2189,South Africa,2019,12500.0,48.1,65.1,Africa
194,Bangladesh,2019,4750.0,48.3,74.5,Asia
