,country,year,income,happiness_rate,lifeExp,continent
1141,Libya,2006,20900.0,,76.9,Africa
1171,Lesotho,2006,1980.0,,44.2,Africa
1201,Luxembourg,2006,108000.0,,79.8,Europe
1231,Morocco,2006,5560.0,,71.0,Africa
1276,Maldives,2006,15500.0,,76.3,Asia
1291,Mexico,2006,18400.0,,75.3,North America
1321,Malta,2006,29600.0,,80.3,Europe
1336,Montenegro,2006,15300.0,,73.9,Europe
1351,Mongolia,2006,6310.0,,63.5,Asia
1381,Mauritania,2006,5330.0,,66.5,Africa
1396,Mauritius,2006,14200.0,,73.3,Africa
1441,Namibia,2006,8310.0,,55.3,Africa
1501,Netherlands,2006,51300.0,,80.0,Europe
1561,Oman,2006,32700.000000000004,,70.1,Asia
1576,Pakistan,2006,3840.0,,62.3,Asia
1636,Poland,2006,20200.0,,75.3,Europe
1681,Qatar,2006,93700.0,,72.1,Asia
1696,Romania,2006,18300.0,,72.8,Europe
1726,Saudi Arabia,2006,39700.0,,71.2,Asia
1741,Sudan,2006,2900.0,,65.8,Africa
1816,Somalia,2006,688.0,,53.8,Africa
1831,Serbia,2006,13000.0,,72.7,Europe
1846,South Sudan,2006,4030.0,,59.2,Africa
1861,Suriname,2006,15000.0,,71.2,South America
1891,Sweden,2006,47400.0,,81.1,Europe
1906,Syria,2006,7940.0,,74.5,Asia
1981,Turkmenistan,2006,6180.0,,66.2,Asia
2011,Tunisia,2006,8890.0,,75.5,Africa
2026,Turkey,2006,19300.0,,77.0,Asia
2161,Yemen,2006,5170.0,,66.2,Asia
